County,Centre Name,Address
Carlow,Carlow Vaccination Centre,"Woodford Dolmen Hotel, Kilkenny Road, Carlow, R93 N207"
Cavan,Cavan Vaccination Centre,"Kilmore Hotel, Dublin Road, Killygarry, Cavan, H12 F6Y7"
Clare,Ennis Vaccination Centre - West County Hotel,"Limerick Road, Clonroad More, Ennis, Clare, V95 C9CT"
Clare,Ennis Hospital Vaccination Centre,"Former Outpatients Department, Gort Road, Lifford, Ennis, Clare, V95 HN29"
Cork,Cork Vaccination Centre - City Hall,"City Hall, Anglesea Street, Cork City, Cork, T12T997"
Cork,Bantry Vaccination Centre,"Bantry Primary Care Centre, Dromleigh South, Bantry, Cork, P75TE27"
Donegal,Letterkenny Vaccination Centre,"Letterkenny Business Park, Ballyraine, Letterkenny, Donegal, F92 FP83"
Dublin,Citywest Vaccination Centre,"Citywest Hotel, Saggart, Dublin, D24 A38Y"
Dublin,UCD Vaccination Centre (No walk-in clinics),"Gerard Manley Hopkins Building, Access Via Stillorgan Road entrance, Belfield, Dublin 4, Dublin, D04 FX62"
Dublin,Croke Park Vaccination Centre,"Jonses Road, Dublin 3, Dublin, D03 P6K7"
Dublin,Swords Vaccination Centre,"National Show Centre, Stockhole Lane, Cloghran, Swords, Dublin, K67 VF43"
Dublin,Richmond Barracks Vaccination Centre,"St. Michael's Estate, Inchicore, Dublin, D08YY05"
Galway,Galway Racecourse Vaccination Centre,"Galway Racecourse, Ballybrit, Galway, H91 V654"
Kerry,Kerry Vaccination Centre,"Borg Warner, Monavalley, Tralee, Kerry, V92 HT21"
Kildare,Kildare Vaccination Centre - Punchestown Racecourse,"Naas, Kildare, W91 VCX4"
Kilkenny,Kilkenny Vaccination Centre - Cillin Hill Conference Centre,"Dublin Road, Lyrath, Leggettsrath, Kilkenny, R95 T294"
Laois,Laois Vaccination Centre,"St. Fintan's Campus, Stradbally Road, Portlaoise, Laois, R32XEN0"
Leitrim,Carrick on Shannon Vaccination Centre,"Primary Care Centre, Carrick on Shannon, Leitrim, N41 W3F1"
Limerick,Limerick Vaccination Centre,"Scoil Carmel, Oâ€™Connell Avenue, Limerick City, Limerick, V94 W3X5"
Longford,Longford Vaccination Centre - Clonguish GAA Club,"8 Railway Court, Lamagh, Newtownforbes, Longford, N39 A4E7"
Louth,Dundalk Vaccination Centre - Fairways Hotel,"Dublin Road, Haggardstown, Dundalk, Louth, A91 E6KC"
Mayo,Breaffy House Resort Vaccination Centre,"Breaghwy, Breaffy, Castlebar, Mayo, F23 TN97"
Meath,Navan Vaccination Centre - Simonstown GAA Club,"Proudstown Road, Navan, Meath, C15 N61X"
Meath,Fairyhouse Racecourse Vaccination Centre,"Fairyhouse Road, Ratoath, Meath, A85 XK30"
Monaghan,Monaghan Vaccination Centre - Glencarn Hotel,"Monaghan Road, Moraghy, Castleblayney, Monaghan, A75 AP92"
Offaly,Offaly Vaccination Centre,"Mucklagh Community Centre, Mucklagh, Tullamore, Offaly, R35 DN02"
Roscommon,Roscommon Vaccination Centre,"Byron Hughes Building, Golf Links Road, Roscommon Town, Roscommon, F42 YX65"
Sligo,Sligo Vaccination Centre,"Sligo Racecourse, Cleveragh Road, Sligo Town, Sligo, F91 EE95"
Tipperary,Nenagh Vaccination Centre,"Abbeycourt Hotel, Dublin Road, Nenagh, Tipperary, E45 KA99"
Tipperary,Clonmel Vaccination Centre,"Clonmel Park Hotel, Cahir Road, Clonmel, Tipperary, E91 X0N7"
Waterford,Waterford Vaccination Centre - WIT Arena,"WIT Sports Campus, Carriganore, Waterford, X91 XD96"
Westmeath,Westmeath Community Vaccination Centre,"Moate Youth and Community Sports Centre, Church Street, Moate, Westmeath, N37 KW60"
Wexford,Gorey Vaccination Centre,"Kilanerin Community Centre, Kilanerin, Gorey, Wexford, Y25 P954"
Wexford,Enniscorthy Vaccination Centre,"Astro Active Centre, Bellefield, Enniscorthy, Wexford, Y21 W640"
Wicklow,Greystones Vaccination Centre - Shoreline Leisure Centre,"69 Mill Road, Killincarrig, Greystones, Wicklow, A63 HD25"
